category,opendb_id,name,manufacturer,part_numbers,socket,cpu_tdp_w,motherboard_ram_type,motherboard_form_factor,ram_type,ram_generation,ram_capacity_gb,ram_modules_quantity,gpu_tdp_w,gpu_memory_gb,psu_wattage_w,psu_efficiency_rating,case_form_factor,case_supported_motherboard_form_factors,storage_type,storage_interface,storage_nvme,storage_capacity_gb,price,score,reviews,pricing_match_sku,source_file
CPU,2299271b-5fcf-4a33-912d-afc59b3f3dc3,Intel Core i7 6850K 3.6 GHz 6-Core LGA2011-3,Intel,BX80671I76850K,LGA 2011-3,140,,,,,,,,,,,,,,,,,249.89,9.82,50,BX80671I76850K,CPU/2299271b-5fcf-4a33-912d-afc59b3f3dc3.json
CPU,251568e9-fc5d-44c3-bf09-81ba16def995,Intel Core i7 10700KF 3.8 GHz 8-Core LGA1200,Intel,BX8070110700KF,LGA 1200,125,,,,,,,,,,,,,,,,,359.9,10,3,BX8070110700KF,CPU/251568e9-fc5d-44c3-bf09-81ba16def995.json
CPU,27c44194-75c5-468f-a8f3-3847cc0c7bce,Intel Core i9 9820X 3.3 GHz 10-Core LGA2066,Intel,BX80673I99820X,LGA 2066,165,,,,,,,,,,,,,,,,,505.8347107,8.8,5,BX80673I99820X,CPU/27c44194-75c5-468f-a8f3-3847cc0c7bce.json
CPU,2b6e8f53-c9c6-4a64-a9fd-75d40fa7150a,AMD Ryzen 5 2600X 3.6 GHz 6-Core AM4,AMD,YD260XBCAFBOX,AM4,95,,,,,,,,,,,,,,,,,149.89,9.51,754,YD260XBCAFBOX,CPU/2b6e8f53-c9c6-4a64-a9fd-75d40fa7150a.json
CPU,2c0ed4a5-939f-4902-bfeb-cb16c0890ef2,AMD Ryzen 9 3950X 3.5 GHz 16-Core AM4,AMD,100-100000051WOF|AMD Ryzen 9 3950X,AM4,105,,,,,,,,,,,,,,,,,769.9,9.92,72,100-100000051WOF,CPU/2c0ed4a5-939f-4902-bfeb-cb16c0890ef2.json
CPU,2e3b7f24-a606-4652-9ffa-74a7f1c41bfe,Intel Core i7 10700F 2.9 GHz 8-Core LGA1200,Intel,BX8070110700F,LGA 1200,65,,,,,,,,,,,,,,,,,315.89,0,0,BX8070110700F,CPU/2e3b7f24-a606-4652-9ffa-74a7f1c41bfe.json
CPU,32841124-84f1-487b-a5c4-d9d05acf3fa6,Intel Core i9 10900X 3.7 GHz 10-Core,Intel,BX8069510900X,LGA 2066,165,,,,,,,,,,,,,,,,,639.9,9.13,16,BX8069510900X,CPU/32841124-84f1-487b-a5c4-d9d05acf3fa6.json
CPU,32aeba0c-9985-418f-878f-76cbba11aa90,AMD Threadripper 3960X 3.8 GHz 24-Core sTRX4,AMD,100-100000010WOF,sTRX4,280,,,,,,,,,,,,,,,,,1406.9,10,9,100-100000010WOF,CPU/32aeba0c-9985-418f-878f-76cbba11aa90.json
CPU,3796bb7f-b124-4628-9592-cb2b3bf47e08,AMD Ryzen 5 5600X 3.7 GHz 6-Core AM4,AMD,100-100000065BOX|AMD Ryzen 5 5600X,AM4,65,,,,,,,,,,,,,,,,,309.91,8.33,18,100-100000065BOX,CPU/3796bb7f-b124-4628-9592-cb2b3bf47e08.json
CPU,3b805488-29ca-4c3a-b4a7-a7a928396ee6,Intel Core i9 9900X 3.5 GHz 10-Core LGA2066,Intel,BX80673I99900X,LGA 2066,165,,,,,,,,,,,,,,,,,564.9,8.67,6,BX80673I99900X,CPU/3b805488-29ca-4c3a-b4a7-a7a928396ee6.json
CPU,4102198f-b559-46e0-8973-5d95592dfdbf,Intel Core i5 9400 2.9 GHz 6-Core LGA1151,Intel,BX80684I59400|984507,LGA 1151,65,,,,,,,,,,,,,,,,,154.9,9.28,111,BX80684I59400,CPU/4102198f-b559-46e0-8973-5d95592dfdbf.json
CPU,43597450-8c66-4f59-9ef5-c347c0a45fd4,AMD Ryzen 7 3800X 3.9 GHz 8-Core AM4,AMD,Ryzen 7 3800X|100-100000025BOX,AM4,105,,,,,,,,,,,,,,,,,349.94,9.6,292,100-100000025BOX,CPU/43597450-8c66-4f59-9ef5-c347c0a45fd4.json
CPU,4380faca-acb9-48dd-b1cd-9c6bafcc77c1,AMD Ryzen 5 1600X 3.6 GHz 6-Core AM4,AMD,YD160XBCAEWOF,AM4,95,,,,,,,,,,,,,,,,,213.0247934,9.54,247,YD160XBCAEWOF,CPU/4380faca-acb9-48dd-b1cd-9c6bafcc77c1.json
CPU,43cdf007-0563-402f-9481-47e8cec31fc6,Intel Core i9 7900X 3.3 GHz 10-Core LGA2066,Intel,BX80673I97900X|i9-7900X,LGA 2066,140,,,,,,,,,,,,,,,,,849.9,9.16,31,BX80673I97900X,CPU/43cdf007-0563-402f-9481-47e8cec31fc6.json
CPU,44a6a1e7-2e9f-43e0-aa38-ced3e17a0686,Intel Core i5 10600KF 4.1 GHz 6-Core LGA1200,Intel,BX8070110600KF,LGA 1200,125,,,,,,,,,,,,,,,,,249.9,10,2,BX8070110600KF,CPU/44a6a1e7-2e9f-43e0-aa38-ced3e17a0686.json
CPU,48ac4925-1fce-4bf9-8002-a3bb6c0afe4f,Intel Core i5 10500 3.1 GHz 6-Core LGA1200,Intel,BX8070110500|4807120,LGA 1200,65,,,,,,,,,,,,,,,,,194.89,9,12,BX8070110500,CPU/48ac4925-1fce-4bf9-8002-a3bb6c0afe4f.json
CPU,4e7cc444-43db-41c6-8f70-fdee1932ee05,Intel Core i9 9900 3.1 GHz 8-Core LGA1151,Intel,BX80684I99900|i9-9900,LGA 1151,65,,,,,,,,,,,,,,,,,349.9,9.27,11,BX80684I99900,CPU/4e7cc444-43db-41c6-8f70-fdee1932ee05.json
CPU,4fd216c7-0579-4576-846e-723a6d537555,Intel Core i5 8600K 3.6 GHz 6-Core LGA1151,Intel,BX80684I58600K,LGA 1151,95,,,,,,,,,,,,,,,,,284.3719008,9.49,810,BX80684I58600K,CPU/4fd216c7-0579-4576-846e-723a6d537555.json
CPU,56d6e30f-ad21-4435-a1e6-9cc613083c37,Intel Core i7 9700 3.0 GHz 8-Core LGA1151,Intel,BX80684I79700,LGA 1151,65,,,,,,,,,,,,,,,,,275.9,9.5,80,BX80684I79700,CPU/56d6e30f-ad21-4435-a1e6-9cc613083c37.json
CPU,5a121bc6-68bf-4644-9f94-93acb8c4df51,Intel Core i9 9960X 3.1 GHz 16-Core LGA2066,Intel,BX80673I99960X,LGA 2066,165,,,,,,,,,,,,,,,,,836.8264463,10,3,BX80673I99960X,CPU/5a121bc6-68bf-4644-9f94-93acb8c4df51.json
CPU,5d09089e-4e1d-4498-9b3f-e4f67f752aa7,Intel Core i7 6800K 3.4 GHz 6-Core LGA2011-3,Intel,BX80671I76800K,LGA 2011-3,140,,,,,,,,,,,,,,,,,199.89,9.46,140,BX80671I76800K,CPU/5d09089e-4e1d-4498-9b3f-e4f67f752aa7.json
CPU,5fbb1479-6d3e-41bb-8007-da5f747249f5,Intel Core i9 10900K 3.7 GHz 10-Core LGA1200,Intel,BX8070110900KA,LGA 1200,125,,,,,,,,,,,,,,,,,569.9,9.82,11,BX8070110900KA,CPU/5fbb1479-6d3e-41bb-8007-da5f747249f5.json
CPU,6233c260-d628-42bf-922b-fdfec2f22938,Intel Core i7 10700K Avengers Collector's Edition 3.8 GHz 8-Core LGA1200,Intel,BX8070110700KA,LGA 1200,125,,,,,,,,,,,,,,,,,399.91,10,2,BX8070110700KA,CPU/6233c260-d628-42bf-922b-fdfec2f22938.json
CPU,6afef332-8827-4395-aab4-da636e15e414,Intel Core i9 9940X 3.3 GHz 14-Core LGA2066,Intel,BX80673I99940X|I9-9940X,LGA 2066,165,,,,,,,,,,,,,,,,,667.8595041,8.5,4,BX80673I99940X,CPU/6afef332-8827-4395-aab4-da636e15e414.json
CPU,6c855be2-28df-4960-9085-a26ca3d4cb76,Intel Core i9 10980XE 3 GHz 18-Core LGA2066,Intel,BX8069510980XE|BX8069510920X,LGA 2066,165,,,,,,,,,,,,,,,,,1098.99,10,8,BX8069510980XE,CPU/6c855be2-28df-4960-9085-a26ca3d4cb76.json
CPU,6d0bc8fb-705d-4175-8fcd-0f6d16d5bb0a,Intel Core i9-10980XE Extreme Edition,Intel,BX8069510980XE,LGA 2066,165,,,,,,,,,,,,,,,,,1098.99,10,8,BX8069510980XE,CPU/6d0bc8fb-705d-4175-8fcd-0f6d16d5bb0a.json
CPU,6f04117e-95fd-483a-9b27-31b2ba116adc,Intel Core i9 9920X 3.5 GHz 12-Core LGA2066,Intel,BX80673I99920X,LGA 2066,165,,,,,,,,,,,,,,,,,586.9752066,0,0,BX80673I99920X,CPU/6f04117e-95fd-483a-9b27-31b2ba116adc.json
CPU,6f26463d-b846-43af-9b16-523ac398be66,Intel Core i9 10940X 3.3 GHz 14-Core LGA2066,Intel,BX8069510940X,LGA 2066,165,,,,,,,,,,,,,,,,,899.9,9.43,7,BX8069510940X,CPU/6f26463d-b846-43af-9b16-523ac398be66.json
CPU,70bae351-5e16-46d2-ac14-821d393b6244,AMD Ryzen 9 3900X 3.8 GHz 12-Core AM4,AMD,Ryzen 9 3900X|100-100000023BOX,AM4,105,,,,,,,,,,,,,,,,,455.9,9.68,418,100-100000023BOX,CPU/70bae351-5e16-46d2-ac14-821d393b6244.json
CPU,7505f3bc-2762-4f9d-ac53-7877a4a4f9b5,AMD Ryzen 7 2700X 3.7 GHz 8-Core AM4,AMD,YD270XBGAFBOX|115931,AM4,105,,,,,,,,,,,,,,,,,199.9,9.61,1352,YD270XBGAFBOX,CPU/7505f3bc-2762-4f9d-ac53-7877a4a4f9b5.json
CPU,766557bd-4a3c-4fb1-93e4-2e12c0264a74,Intel Core i5 10400F 2.9 GHz 6-Core LGA1200,Intel,BX8070110400F|Intel Core i5-10400F,LGA 1200,65,,,,,,,,,,,,,,,,,149.89,9.67,73,BX8070110400F,CPU/766557bd-4a3c-4fb1-93e4-2e12c0264a74.json
CPU,77b34328-7f21-480e-8293-c9f24b25564c,Intel Core i9 9900K (Standard Folding Box) 3.6 GHz 8-Core LGA1151,Intel,BX806849900K,LGA 1151,95,,,,,,,,,,,,,,,,,356.7024793,10,12,BX806849900K,CPU/77b34328-7f21-480e-8293-c9f24b25564c.json
CPU,7a9c7440-6aca-4f8e-a6a1-9ae438789cd9,AMD Ryzen 3 3100 3.6 GHz 4-Core AM4,AMD,100-100000284BOX,AM4,65,,,,,,,,,,,,,,,,,106.9,9.28,89,100-100000284BOX,CPU/7a9c7440-6aca-4f8e-a6a1-9ae438789cd9.json
CPU,7e0be556-2750-435b-b573-917a6703a70a,Intel Core i5 10600 3.3 GHz 6-Core LGA1200,Intel,BX8070110600|4807121,LGA 1200,65,,,,,,,,,,,,,,,,,219.91,9.43,21,BX8070110600,CPU/7e0be556-2750-435b-b573-917a6703a70a.json
CPU,7fb6ddb6-7d41-4cfa-ac44-c29e4bed27c6,Intel Core i9 10900K 3.7 GHz 10-Core LGA1200,Intel,BX8070110900K,LGA 1200,125,,,,,,,,,,,,,,,,,525,9.67,49,BX8070110900K,CPU/7fb6ddb6-7d41-4cfa-ac44-c29e4bed27c6.json
CPU,83aee1bc-820b-42e4-a062-efb06b659df2,Intel Core i5 9600KF 3.7 GHz 6-Core LGA1151,Intel,BX80684I59600KF,LGA 1151,95,,,,,,,,,,,,,,,,,180.9,9.62,230,BX80684I59600KF,CPU/83aee1bc-820b-42e4-a062-efb06b659df2.json
CPU,88335ff6-ffb7-4410-87d0-2b28cf7b1008,AMD Ryzen 9 5900X 3.7 GHz 12-Core AM4,AMD,100-100000061WOF|AMD Ryzen 9 5900X,AM4,105,,,,,,,,,,,,,,,,,569.9,8.8,15,100-100000061WOF,CPU/88335ff6-ffb7-4410-87d0-2b28cf7b1008.json
CPU,8974c323-a771-45c8-ab96-48a386e83de1,Intel Core i5 9600K 3.7 GHz 6-Core LGA1151,Intel,BX80684I59600K,LGA 1151,95,,,,,,,,,,,,,,,,,195.9,9.59,1037,BX80684I59600K,CPU/8974c323-a771-45c8-ab96-48a386e83de1.json
CPU,89eeefbe-a6d6-4f77-9c4d-025df2f10a3e,AMD Ryzen 7 3700X 3.6 GHz 8-Core AM4,AMD,Ryzen 7 3700X|100-100000071BOX,AM4,65,,,,,,,,,,,,,,,,,319.9,9.66,940,100-100000071BOX,CPU/89eeefbe-a6d6-4f77-9c4d-025df2f10a3e.json
CPU,8b3369aa-e320-4777-ba00-61cc17ec5bac,Intel Core i5 6400 2.7 GHz 4-Core LGA1151,Intel,BX80662I56400,LGA 1151,65,,,,,,,,,,,,,,,,,149.9,9.29,348,BX80662I56400,CPU/8b3369aa-e320-4777-ba00-61cc17ec5bac.json
CPU,8d8fc082-483c-4e5a-980f-d6191a73f946,Intel Core i5 10400 2.9 GHz 6-Core LGA1200,Intel,BX8070110400,LGA 1200,65,,,,,,,,,,,,,,,,,169.9,9.53,51,BX8070110400,CPU/8d8fc082-483c-4e5a-980f-d6191a73f946.json
CPU,8f4be642-fc35-4ec2-aa3d-e06c5eb21b10,AMD Ryzen 7 5800X 3.8 GHz 8-Core AM4,AMD,100-100000063WOF|AMD Ryzen 7 5800X,AM4,105,,,,,,,,,,,,,,,,,475.91,9.06,17,100-100000063WOF,CPU/8f4be642-fc35-4ec2-aa3d-e06c5eb21b10.json
CPU,8fa3e52f-5fef-48ff-bba6-0f81708ccacf,AMD Ryzen 3 3200G 3.6 GHz 4-Core AM4,AMD,Ryzen 3 3200G|YD3200C5FHBOX,AM4,65,,,,,,,,,,,,,,,,,99.99,9.37,395,YD3200C5FHBOX,CPU/8fa3e52f-5fef-48ff-bba6-0f81708ccacf.json
CPU,92f76877-d37d-4026-a930-e71d0880d506,AMD A10 9700 3.5 GHz 4-Core AM4,AMD,AD9700AGABBOX|114949|B961026,AM4,65,,,,,,,,,,,,,,,,,69.99,8.62,26,AD9700AGABBOX,CPU/92f76877-d37d-4026-a930-e71d0880d506.json
CPU,978c6a6e-24b6-4a23-b063-86a699eff902,Intel Core i7 9700KF 3.6 GHz 8-Core LGA1151,Intel,BX80684I79700KF,LGA 1151,95,,,,,,,,,,,,,,,,,334.89,0,0,BX80684I79700KF,CPU/978c6a6e-24b6-4a23-b063-86a699eff902.json
CPU,9ba01056-5190-4d7b-ade4-e930eeddd24c,Intel Core i7 7800X 3.5 GHz 6-Core LGA2066,Intel,BX80673I77800X,LGA 2066,140,,,,,,,,,,,,,,,,,379.9,9.26,94,BX80673I77800X,CPU/9ba01056-5190-4d7b-ade4-e930eeddd24c.json
CPU,9f192a62-7a9d-4fb1-8e2c-9e3b6c8610f2,AMD Ryzen 5 3600XT 3.8 GHz 6-Core AM4,AMD,100-100000281BOX|AMD Ryzen 5 3600XT,AM4,95,,,,,,,,,,,,,,,,,232.6363636,8.91,11,100-100000281BOX,CPU/9f192a62-7a9d-4fb1-8e2c-9e3b6c8610f2.json
CPU,a3f20a4b-2357-4700-afad-9f284e8240d7,Intel Core i9 9900KF 3.6 GHz 8-Core LGA1151,Intel,BX80684I99900KF,LGA 1151,95,,,,,,,,,,,,,,,,,369.9,9.72,99,BX80684I99900KF,CPU/a3f20a4b-2357-4700-afad-9f284e8240d7.json
CPU,a44808fb-30a8-420c-8ddc-c8cb2645d89e,Intel Core i9-9900K,Intel,BX80684I99900K|BX80684I99900KSRG19,LGA 1151,95,,,,,,,,,,,,,,,,,414.9,9.61,565,BX80684I99900K,CPU/a44808fb-30a8-420c-8ddc-c8cb2645d89e.json
CPU,a9fc2c82-bbfc-4267-bcd6-2bcefbd5a033,AMD Ryzen 5 1500X 3.5 GHz 4-Core AM4,AMD,YD150XBBAEBOX|116737,AM4,65,,,,,,,,,,,,,,,,,64.99,9.34,173,YD150XBBAEBOX,CPU/a9fc2c82-bbfc-4267-bcd6-2bcefbd5a033.json
CPU,aae12377-27f2-4a1d-89fc-c86e3556e79e,Intel Core i5 7500 3.4 GHz 4-Core LGA1151,Intel,BX80677I57500,LGA 1151,65,,,,,,,,,,,,,,,,,207.89,9.33,450,BX80677I57500,CPU/aae12377-27f2-4a1d-89fc-c86e3556e79e.json
CPU,ab9e5786-c671-4a4f-a240-e911e0bfbed6,AMD Ryzen 7 PRO 4750G,AMD,100-100000145MPK,AM4,65,,,,,,,,,,,,,,,,,299.9,0,0,100-100000145MPK,CPU/ab9e5786-c671-4a4f-a240-e911e0bfbed6.json
CPU,ace4672b-d3d9-4695-bac3-d76b4283cf3a,AMD Threadripper 2990 WX 3.0 GHz 32-Core sTR4,AMD,YD299XAZAFWOF,TR4,250,,,,,,,,,,,,,,,,,1805.719008,10,7,YD299XAZAFWOF,CPU/ace4672b-d3d9-4695-bac3-d76b4283cf3a.json
CPU,ad2f57e1-6be7-4064-a331-412256955e97,AMD Threadripper 1950X 3.4 GHz 16-Core sTR4,AMD,YD195XA8AEWOF,TR4,180,,,,,,,,,,,,,,,,,569.9,9.53,38,YD195XA8AEWOF,CPU/ad2f57e1-6be7-4064-a331-412256955e97.json
CPU,ad46c8d7-41a5-44a7-a89a-3bab491e25c3,Intel Core i7 9700F 3.0 GHz 8-Core LGA1151,Intel,BX80684I79700F,LGA 1151,65,,,,,,,,,,,,,,,,,259.9,9.44,86,BX80684I79700F,CPU/ad46c8d7-41a5-44a7-a89a-3bab491e25c3.json
CPU,ad4d37df-831c-4272-a8f2-3a32615a1bf6,Intel Core i7 8700 3.2 GHz 6-Core LGA1151,Intel,BX80684I78700,LGA 1151,65,,,,,,,,,,,,,,,,,295.8760331,9.49,489,BX80684I78700,CPU/ad4d37df-831c-4272-a8f2-3a32615a1bf6.json
CPU,ae9507b0-cdbc-489b-b39a-46b12687d53d,Intel Core i5 6400 2.7 GHz 4-Core LGA1151,Intel,CM8066201920506|BX80662I56400,LGA 1151,65,,,,,,,,,,,,,,,,,149.9,9.29,348,BX80662I56400,CPU/ae9507b0-cdbc-489b-b39a-46b12687d53d.json
CPU,b47b7945-792d-4d3f-82c8-e4852a1738c3,AMD Threadripper 2950X 3.5 GHz 16-Core sTR4,AMD,YD295XA8AFWOF,TR4,180,,,,,,,,,,,,,,,,,785,8.67,6,YD295XA8AFWOF,CPU/b47b7945-792d-4d3f-82c8-e4852a1738c3.json
CPU,b8349625-b815-468f-a4dc-32aba8a8f84d,Intel Core i3 10320 3.8 GHz 4-Core LGA1200,Intel,BX8070110320,LGA 1200,65,,,,,,,,,,,,,,,,,159.9,0,0,BX8070110320,CPU/b8349625-b815-468f-a4dc-32aba8a8f84d.json
CPU,bba255ea-d82d-4cfd-a74b-fbce700520ba,Intel Core i5 7600 3.5 GHz 4-Core LGA1151,Intel,BX80677I57600,LGA 1151,65,,,,,,,,,,,,,,,,,175.9,9.5,168,BX80677I57600,CPU/bba255ea-d82d-4cfd-a74b-fbce700520ba.json
CPU,bc962501-eb68-418a-bd69-d51512b1e3ca,Intel Core i7 10700K 3.8 GHz 8-Core LGA1200,Intel,BX8070110700K|i7-10700K,LGA 1200,125,,,,,,,,,,,,,,,,,369.9,9.72,173,BX8070110700K,CPU/bc962501-eb68-418a-bd69-d51512b1e3ca.json
CPU,bd3ccb89-8d76-4e73-98d9-44e8582d077a,AMD Athlon 3000G,AMD,YD3000C6FHBOX|YD220GC6FBBOX,AM4,35,,,,,,,,,,,,,,,,,50.99,9.6,121,YD3000C6FHBOX,CPU/bd3ccb89-8d76-4e73-98d9-44e8582d077a.json
CPU,bf21533b-baba-409f-aa43-c5f3eab64c5f,AMD Ryzen 7 3800XT 3.9 GHz 8-Core,AMD,100-100000279WOF,AM4,105,,,,,,,,,,,,,,,,,399.91,9.33,3,100-100000279WOF,CPU/bf21533b-baba-409f-aa43-c5f3eab64c5f.json
CPU,bf57d7f5-cb98-4b27-8299-941a55164857,Intel Core i9 9900 3.1 GHz 8-Core LGA1151 OEM/Tray,Intel,CM8068403874032|BX80684I99900,LGA 1151,65,,,,,,,,,,,,,,,,,349.9,9.27,11,BX80684I99900,CPU/bf57d7f5-cb98-4b27-8299-941a55164857.json
CPU,c8516eef-ba79-437e-a169-bdb0610a1875,AMD Threadripper 2970WX 3 GHz 24-Core sTR4,AMD,YD297XAZAFWOF|116960,TR4,250,,,,,,,,,,,,,,,,,1256.190083,10,1,YD297XAZAFWOF,CPU/c8516eef-ba79-437e-a169-bdb0610a1875.json
CPU,cf60f167-fee9-48fc-a3c3-91a1c3af275e,AMD Threadripper 3990X 2.9 GHz 64-Core sTRX4,AMD,100-100000163WOF|AMD Ryzen Threadripper 3990X,sTRX4,280,,,,,,,,,,,,,,,,,3990,6.8,10,100-100000163WOF,CPU/cf60f167-fee9-48fc-a3c3-91a1c3af275e.json
